CENTRAL,Latitud,Longitud,FirstAppearance,Type
aes andres,18.40851891,-69.63680193,1/1/2013,Termica
aguacate 1,18.43706248,-70.25765532,1/1/2013,Hidro
aguacate 2,18.43706248,-70.25765532,1/1/2013,Hidro
aniana vargas 1,18.7944223,-70.35457948,1/1/2013,Hidro
aniana vargas 2,18.7944223,-70.35457948,1/1/2013,Hidro
baiguaque 1,19.28361117,-70.77466423,1/1/2013,Hidro
baiguaque 2,19.28361117,-70.77466423,1/1/2013,Hidro
barahona carbon,18.2200556,-71.0860337,1/1/2013,Termica
bersal,18.50624874,-69.33991879,8/23/2014,Termica
brazo derecho,19.59176582,-70.91029832,9/5/2014,Hidro
cepp 1,19.80129274,-70.69623463,1/1/2013,Termica
cepp 2,19.80129274,-70.69623463,1/1/2013,Termica
cespm 1,18.49490013,-69.34218981,1/1/2013,Termica
cespm 2,18.49490013,-69.34218981,1/1/2013,Termica
cespm 3,18.49490013,-69.34218981,1/1/2013,Termica
contra embalse moncion 1,19.46666479,-71.08101671,1/1/2013,Hidro
contra embalse moncion 2,19.46666479,-71.08101671,1/1/2013,Hidro
domingo rodriguez 1,18.895912,-71.347173,1/1/2013,Hidro
domingo rodriguez 2,18.89623946,-71.34649481,1/1/2013,Hidro
el salto,18.89918995,-70.7580493,1/1/2013,Hidro
estrella del mar,18.48396761,-69.88374511,1/1/2013,Termica
estrella del mar 2,18.48396761,-69.88374511,1/1/2013,Termica
estrella del mar 3,18.48312146,-69.88305197,9/23/2021,Termica
generacion de emergencia aes andres,18.40851891,-69.63680193,11/30/2018,Termica
haina 1,18.42386834,-70.02067147,1/1/2013,Termica
haina 2,18.42386834,-70.02067147,3/8/2013,Termica
haina 4,18.42386834,-70.02067147,1/1/2013,Termica
haina tg,18.42386834,-70.02067147,1/1/2013,Termica
hatillo 1,19.03668176,-70.19260361,1/1/2013,Hidro
hatillo 2,19.03668176,-70.19260361,4/26/2019,Hidro
