date,temperature_2m,dew_point_2m,relative_humidity_2m,apparent_temperature,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,temperature_80m,temperature_120m,temperature_180m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm,uv_index,uv_index_clear_sky,is_day,sunshine_duration,wet_bulb_temperature_2m,cape,lifted_index,convective_inhibition,freezing_level_height,shortwave_radiation,diffuse_radiation,global_tilted_irradiance,shortwave_radiation_instant,diffuse_radiation_instant,global_tilted_irradiance_instant,direct_radiation,direct_normal_irradiance,terrestrial_radiation,direct_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant,pressure_msl,generation
2025-05-30 00:00:00+00:00,27.118,19.722149,64.0,29.147953,1014.0496,55.0,0.0,55.0,24140.0,0.050000004,0.091194555,1.2917323,11.592895,16.434305,17.595861,19.469976,154.23073,151.1893,149.23735,146.3099,24.84,27.068,26.468,25.768,26.218,29.368,30.068,28.968,0.089,0.145,0.199,0.219,0.236,0.0,0.0,0.0,0.0,22.015833,50.0,-3.0,-43.0,4850.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.46644,0.0,0.0,0.0,1017.4,0.0
2025-05-30 01:00:00+00:00,26.518,19.89177,67.0,29.011086,1014.342,66.0,11.0,57.0,24140.0,0.04,0.041195523,1.1430931,9.0,12.768586,14.007655,15.496736,163.73972,158.4985,154.09355,149.26459,20.880001,26.968,26.368,25.568,25.668001,28.668001,29.968,28.968,0.091,0.145,0.199,0.219,0.236,0.0,0.0,0.0,0.0,21.91277,60.0,-3.4,-46.0,4830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.7,0.0
2025-05-30 02:00:00+00:00,25.968,20.530542,72.0,28.901508,1014.8343,73.0,6.0,69.0,24140.0,0.04,0.028295359,0.9388995,8.209263,11.165805,12.397806,13.397612,164.74483,159.22766,154.17906,149.30035,16.199999,26.768,26.268,25.468,25.318,28.118,29.818,28.968,0.093,0.145,0.199,0.219,0.236,0.0,0.0,0.0,0.0,22.126654,120.0,-3.3,-61.0,4830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.2,0.0
2025-05-30 03:00:00+00:00,25.568,21.655457,79.0,29.216202,1015.12885,77.0,3.0,70.0,24140.0,0.03,0.014350503,0.6876335,7.42159,10.636766,11.435313,12.979984,165.96373,156.0375,151.8215,146.3099,14.759999,26.468,25.868,25.168001,25.068,27.668001,29.618,28.968,0.095,0.145,0.199,0.219,0.236,0.0,0.0,0.0,0.0,22.735554,360.0,-3.1,-60.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.5,0.0
2025-05-30 04:00:00+00:00,25.368,22.46735,84.0,29.544514,1014.9273,81.0,0.0,64.0,24140.0,0.02,0.005918549,0.51769423,6.924738,10.028439,10.948973,12.287555,171.02745,158.96242,152.59251,148.17259,13.32,26.068,25.568,24.868,25.068,27.368,29.468,28.968,0.097,0.145,0.199,0.219,0.236,0.0,0.0,0.0,0.0,23.235085,570.0,-3.3,-57.0,4910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.3,0.0
2025-05-30 05:00:00+00:00,25.218,22.898682,87.0,29.756104,1014.22766,96.0,27.0,67.0,24140.0,0.02,0.00011709662,0.4168787,6.162207,8.766573,9.983106,11.298495,173.29025,160.82089,154.35904,149.34941,12.599999,25.768,25.268,24.568,24.818,27.118,29.268,28.968,0.1,0.145,0.198,0.219,0.236,0.0,0.0,0.0,0.0,23.500278,720.0,-3.6,-71.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.6,0.0
2025-05-30 06:00:00+00:00,24.618,23.23071,92.0,29.4646,1013.5233,83.0,28.0,71.0,24140.0,0.01,0.0,0.24752808,5.3999996,6.9899354,7.754637,9.339208,180.0,168.11136,158.19853,152.44728,11.159999,25.468,24.968,24.268,24.518,26.718,29.018,28.968,0.103,0.145,0.202,0.221,0.236,0.0,0.0,0.0,0.0,23.58766,730.0,-3.4,-72.0,4920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.9,0.0
2025-05-30 07:00:00+00:00,24.268,23.239836,94.0,29.156326,1013.1209,86.0,31.0,74.0,24140.0,0.01,0.0,0.18180394,5.1544156,5.771239,6.2145634,7.172949,192.09474,183.57626,169.99208,162.47433,9.72,25.368,24.868,24.168001,23.968,26.468,28.868,28.968,0.106,0.145,0.202,0.221,0.236,0.0,0.0,0.0,0.0,23.508507,690.0,-3.1,-60.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.5,0.0
2025-05-30 08:00:00+00:00,23.918001,23.067348,95.0,28.841373,1012.9173,66.0,30.0,50.0,24140.0,0.01,0.0,0.14836025,4.2136917,4.1046314,3.9763298,4.379589,199.9832,195.25517,185.19434,170.53775,9.0,25.168001,24.768,24.168001,23.618,26.218,28.668001,28.968,0.109,0.145,0.202,0.221,0.236,0.0,0.0,0.0,0.0,23.293259,550.0,-3.0,-81.0,4890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.3,0.0
2025-05-30 09:00:00+00:00,23.668001,22.818935,95.0,28.494621,1013.21356,86.0,29.0,74.0,24140.0,-0.0,0.0,0.14615393,3.8773184,3.096837,2.0991426,1.835647,201.80147,215.53777,210.96368,191.30989,7.2,25.168001,24.768,24.168001,23.518,25.918001,28.468,28.968,0.112,0.146,0.202,0.221,0.236,0.0,0.0,0.0,0.0,23.04417,410.0,-2.9,-85.0,4890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6,0.0
2025-05-30 10:00:00+00:00,23.568,22.545204,94.0,28.31736,1013.5113,68.0,7.0,62.0,24140.0,0.01,0.0,0.17433834,3.319036,2.3051248,1.5273507,0.8049845,192.5288,218.65984,224.9999,243.43501,6.4799995,25.268,24.668001,24.068,23.218,25.718,28.268,28.968,0.114,0.146,0.201,0.221,0.236,0.0,0.0,0.0,0.0,22.812613,280.0,-2.9,-98.0,4910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.9,0.0
2025-05-30 11:00:00+00:00,24.068,22.506357,91.0,28.858429,1013.81604,53.0,0.0,53.0,24140.0,0.01,0.020791048,0.26947832,2.8799999,1.4399999,1.08,0.0,180.0,180.0,180.0,270.0,5.7599998,25.268,24.668001,23.868,25.218,25.568,28.068,28.968,0.117,0.146,0.201,0.221,0.236,0.2,0.2,1.0,483.79016,22.91008,220.0,-2.8,-85.0,4910.0,38.0,26.0,38.0,82.597496,56.514076,54.598473,12.0,92.97194,113.57328,26.08342,133.58226,246.86497,1017.2,0.0
2025-05-30 12:00:00+00:00,26.468,23.345112,83.0,31.796772,1014.4413,60.0,27.0,46.0,24140.0,0.06,0.12820892,0.5869448,2.5455842,2.8116899,3.0547013,4.3349743,135.0001,140.19447,135.0001,131.63345,5.04,25.068,24.568,23.868,29.768,26.368,27.968,28.918001,0.118,0.147,0.204,0.222,0.236,1.35,1.35,1.0,3600.0,24.162022,460.0,-3.0,-35.0,4910.0,195.0,93.0,195.00002,267.7117,127.677895,267.71173,102.0,341.07663,398.08472,140.03381,468.2575,546.52277,1017.8,0.0
2025-05-30 13:00:00+00:00,27.968,22.901829,74.0,32.64543,1014.25854,76.0,49.0,49.0,24140.0,0.19,0.26566994,0.9800947,5.1919937,5.991594,6.193674,6.696387,123.690094,122.73522,125.537766,126.25393,10.440001,26.068,25.368,24.468,31.718,27.768,27.918001,28.918001,0.116,0.147,0.204,0.221,0.236,3.25,3.25,1.0,3600.0,24.298767,540.0,-3.1,-40.0,4920.0,371.0,149.0,371.0,443.16763,177.98376,443.16763,222.0,430.7559,686.03,265.18387,514.54736,819.47797,1017.6,0.0
2025-05-30 14:00:00+00:00,28.968,22.222277,67.0,32.341106,1014.3693,85.0,38.0,70.0,24140.0,0.28000003,0.35651028,1.3183119,11.440979,13.202726,13.684735,14.168641,114.14554,115.8663,116.56499,117.216034,20.519999,27.068,26.368,25.468,31.768,28.868,27.968,28.918001,0.113,0.147,0.203,0.221,0.235,5.25,5.3,1.0,3600.0,24.172106,440.0,-3.4,-31.0,4930.0,461.0,218.0,461.0,514.7641,243.42424,514.7641,243.0,344.92493,937.7718,271.33987,385.1518,1047.1393,1017.7,0.0
2025-05-30 15:00:00+00:00,29.618,21.828371,63.0,32.08487,1014.07733,96.0,64.0,85.0,24140.0,0.33,0.4415867,1.534579,16.42247,19.319628,19.64228,20.12461,116.00329,116.56499,116.09537,116.56499,29.16,27.668001,26.868,26.068,32.118,29.668001,28.118,28.918001,0.11,0.147,0.202,0.22,0.235,6.95,7.15,1.0,3600.0,24.136936,500.0,-3.3,-30.0,4950.0,558.0,286.0,558.0,596.2285,305.59384,596.2285,272.0,318.6669,1136.1652,290.6347,340.49875,1214.0039,1017.4,0.0
2025-05-30 16:00:00+00:00,29.718,22.181097,64.0,32.09245,1014.4773,91.0,37.0,81.0,24140.0,0.32,0.44619852,1.5016582,18.39878,21.794127,22.59699,22.90743,120.57915,120.80138,120.65059,120.191536,32.760002,27.568,26.868,25.968,32.668,30.118,28.268,28.868,0.107,0.147,0.201,0.22,0.235,8.15,8.4,1.0,3600.0,24.388,600.0,-3.4,-19.0,4970.0,558.0,352.0,558.0,576.0512,363.38715,576.0512,206.0,216.29851,1267.7023,212.66406,223.29573,1308.7123,1017.8,0.0
2025-05-30 17:00:00+00:00,30.468,22.367052,62.0,33.51042,1013.98676,94.0,37.0,87.0,24140.0,0.33,0.5280976,1.654638,18.581022,21.67786,22.180206,22.682856,125.537766,125.537766,125.753975,125.96061,32.760002,27.868,27.068,26.168001,35.668,30.768,28.468,28.868,0.103,0.147,0.2,0.219,0.235,7.7,8.95,1.0,3600.0,24.746008,720.0,-3.8,0.0,4970.0,675.0,371.0,675.0,675.70953,371.38998,675.70953,304.0,305.75235,1323.4314,304.31955,306.07373,1324.8225,1017.3,0.0
2025-05-30 18:00:00+00:00,31.018,22.344704,60.0,33.82393,1013.1955,81.0,30.0,67.0,24140.0,0.33,0.5634282,1.7972054,21.178896,25.071098,25.762016,26.260265,121.79887,122.09256,123.02388,123.25438,33.839996,28.268,27.568,26.668001,35.668,31.818,28.718,28.868,0.099,0.148,0.202,0.22,0.235,7.75,8.7,1.0,3600.0,24.910254,780.0,-4.1,-2.0,4940.0,712.0,373.0,712.0,691.00653,362.002,691.00653,339.0,347.21048,1299.5669,329.00452,336.97293,1261.2488,1016.5,0.0
2025-05-30 19:00:00+00:00,30.868,22.204048,60.0,33.619965,1012.1971,86.0,23.0,76.0,24140.0,0.32,0.5531172,1.7819488,20.767975,24.863466,25.364037,25.864943,123.690094,124.3804,124.592354,124.7961,37.44,28.368,27.568,26.668001,34.767998,32.068,28.968,28.868,0.096,0.148,0.201,0.219,0.234,7.5,7.7,1.0,3600.0,24.775469,850.0,-4.3,-4.0,4930.0,704.0,286.0,704.0,659.6752,267.99304,659.6752,418.0,464.51273,1197.7454,391.68213,435.26636,1122.3336,1015.5,0.0
2025-05-30 20:00:00+00:00,30.418001,21.782042,60.0,32.506218,1012.0928,88.0,13.0,79.0,24140.0,0.28000003,0.47304523,1.7368522,19.67195,24.27265,24.774696,25.488914,124.56259,125.340195,125.537766,126.384445,37.079998,28.268,27.568,26.668001,32.767998,32.017998,29.218,28.868,0.094,0.148,0.2,0.218,0.234,5.85,6.05,1.0,3600.0,24.371119,710.0,-4.5,-10.0,4920.0,583.0,272.0,583.0,521.9286,243.50699,521.9286,311.0,403.87976,1024.916,278.4216,361.57187,917.5523,1015.4,0.0
2025-05-30 21:00:00+00:00,29.618,21.828371,63.0,31.844246,1012.08386,81.0,8.0,75.0,24140.0,0.21000002,0.3303511,1.534579,17.786331,22.392464,22.89611,23.4,125.94221,126.50153,126.68982,126.86999,35.28,27.968,27.268,26.368,30.518,31.468,29.418001,28.868,0.094,0.147,0.199,0.218,0.234,3.9,4.05,1.0,3600.0,24.136936,640.0,-4.1,-24.0,4930.0,374.0,217.0,374.0,311.7356,180.87332,311.7356,157.0,263.55725,792.8641,130.86226,219.67961,660.86615,1015.4,0.0
2025-05-30 22:00:00+00:00,28.868,21.880564,66.0,31.323826,1012.1752,77.0,0.0,77.0,24140.0,0.14000002,0.22234693,1.3504779,16.418526,21.252197,21.758419,22.26477,127.875046,128.8114,128.95592,129.09386,31.68,27.668001,26.868,26.068,28.968,30.768,29.518,28.868,0.094,0.147,0.199,0.218,0.234,2.05,2.05,1.0,3600.0,23.924803,650.0,-3.9,-40.0,4940.0,224.0,120.0,224.0,160.08423,85.75941,160.08423,104.0,267.52704,517.4088,74.32482,191.19135,369.77228,1015.5,0.0
2025-05-30 23:00:00+00:00,27.868,21.89185,70.0,30.789852,1012.7625,67.0,0.0,67.0,24140.0,0.08,0.11056219,1.1244228,13.276144,18.11841,19.406637,20.421871,130.60121,130.97165,130.48593,130.71075,28.44,27.168001,26.568,25.768,26.968,29.968,29.568,28.868,0.095,0.147,0.199,0.218,0.234,0.55,0.55,1.0,2973.3147,23.609608,540.0,-4.4,-25.0,4950.0,79.0,49.0,78.99999,23.304638,14.454776,21.678541,30.0,170.90974,217.3224,8.849863,46.899673,64.10911,1016.1,0.0
2025-05-31 00:00:00+00:00,27.068,22.035109,74.0,30.48455,1012.7536,68.0,0.0,68.0,24140.0,0.04,0.06362404,0.9299941,10.44,15.03835,16.323528,17.610588,133.60289,132.0891,131.42357,130.85529,23.759998,26.968,26.368,25.668001,26.118,29.118,29.518,28.868,0.091,0.142,0.202,0.219,0.234,0.0,0.0,0.0,0.0,23.449684,540.0,-4.3,-10.0,4910.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.356186,0.0,0.0,0.0,1016.1,0.0
2025-05-31 01:00:00+00:00,26.368,22.6394,80.0,30.461838,1013.44336,66.0,2.0,64.0,24140.0,0.03,0.016537782,0.68651867,8.161764,12.738099,13.783817,15.124284,138.57643,132.70937,130.76352,128.23387,19.44,26.668001,26.068,25.368,25.568,28.418001,29.468,28.868,0.092,0.142,0.202,0.219,0.234,0.0,0.0,0.0,0.0,23.642838,690.0,-4.4,-7.0,4950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.8,0.0
2025-05-31 02:00:00+00:00,25.618,22.90723,85.0,30.140854,1013.5347,48.0,0.0,48.0,24140.0,0.02,0.0031143269,0.49256468,6.297428,9.931042,10.97262,12.096214,149.03632,136.46873,131.00899,126.528946,14.759999,26.568,25.968,25.268,24.968,27.818,29.318,28.868,0.095,0.142,0.201,0.219,0.234,0.0,0.0,0.0,0.0,23.615803,820.0,-4.2,-9.0,4980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.9,0.0
2025-05-31 03:00:00+00:00,25.018,23.262203,90.0,29.870724,1014.0261,54.0,0.0,54.0,24140.0,0.01,0.0,0.3168733,5.4833565,7.8954163,8.942214,9.585739,156.80138,136.8476,130.10085,124.286934,11.879999,26.368,25.868,25.168001,24.568,27.368,29.168001,28.868,0.097,0.143,0.201,0.219,0.234,0.0,0.0,0.0,0.0,23.71242,870.0,-4.2,-19.0,5020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.4,0.0
2025-05-31 04:00:00+00:00,24.568,23.360218,93.0,29.681183,1013.5227,51.0,0.0,51.0,24140.0,0.01,0.0,0.21593928,4.1046314,5.3517847,6.193674,6.792466,164.74483,137.72638,125.537766,122.00535,9.72,26.168001,25.668001,24.968,24.168001,26.918001,29.018,28.868,0.099,0.143,0.201,0.219,0.234,0.0,0.0,0.0,0.0,23.672514,930.0,-4.0,-14.0,5030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.9,0.0
2025-05-31 05:00:00+00:00,24.118,23.266073,95.0,29.353897,1012.9196,54.0,12.0,40.0,24140.0,0.01,0.0,0.15014768,2.8799999,1.8,2.2768397,2.9024127,180.0,143.13002,108.43504,97.12492,7.5599995,25.968,25.568,24.768,23.818,26.568,28.818,28.868,0.102,0.143,0.201,0.219,0.234,0.0,0.0,0.0,0.0,23.492527,920.0,-3.9,-22.0,5020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.3,0.0
