timestamp,aes andres,aguacate 1,aguacate 2,aniana vargas 1,aniana vargas 2,baiguaque 1,baiguaque 2,barahona carbon,bersal,brazo derecho,cespm 1,cespm 2,cespm 3,consumo,contra embalse moncion 1,contra embalse moncion 2,disponibilidad real,disponibilidad real sinc.,domingo rodriguez 1,domingo rodriguez 2,el salto,estrella del mar 2,estrella del mar 3,haina tg,hatillo 1,hatillo 2,inca km22,itabo 1,itabo 2,jiguey 1,jiguey 2,jimenoa,la vega,las barias,las damas,lopez angostura,los anones,los cocos 1,los cocos 2,los mina,los origenes,los toros 1,los toros 2,magueyal 1,magueyal 2,metaldom,moncion 1,moncion 2,monte plata solar,monte rio,nizao najayo,palamara,palenque,palomino 1,palomino 2,parque eolico agua clara,parque eolico de matafongo,parque eolico guanillo,parque eolico larimar,parque eolico larimar ii,parque eolico los guzmancitos,parque eolico los guzmancitos 2,parque fotovoltaico bayasol,parque fotovoltaico calabaza,parque fotovoltaico cumayasa 1,parque fotovoltaico cumayasa 2,parque fotovoltaico la victoria,parque fotovoltaico los negros,parque fotovoltaico maranatha fase i,parque fotovoltaico marti,parque fotovoltaico mata de palma,parque fotovoltaico matrisol,parque fotovoltaico mirasol,parque fotovoltaico montecristi solar 1,parque fotovoltaico sajoma,parque fotovoltaico santanasol,parque fotovoltaico washington capital 2,parque fotovoltaico washington capital 3,parque solar canoa,parque solar el soco,parque solar esperanza,parque solar girasol,pimentel 1,pimentel 2,pimentel 3,pimentel 4,pinalito 1,pinalito 2,potencia no servida,powership azua,punta catalina 1,punta catalina 2,quilvio cabrera,quisqueya 1,quisqueya 2,reserva caliente,reserva fria,rincon,rio blanco 1,rio blanco 2,rosa julia de la cruz,sabana yegua,sabaneta,san felipe,san lorenzo 1,san pedro bio-energy,siba,sultana del este,tavera 1,tavera 2,total eolico,total generado,total hidroelectrica,total programado,total solar,total termico,valdesia 1,valdesia 2,parque fotovoltaico cotoperi i,parque fotovoltaico cotoperi ii,parque fotovoltaico cotoperi iii
2025-07-07 05:00:00,253.46,0.0,26.24,0.0,0.2,0.2,0.0,50.78,0.0,0.0,87.25,86.93,86.85,219.48,0.8,0.8,3524.47,3524.47,1.31,1.18,0.0,81.67,146.05,0.0,7.03,0.0,0.0,122.29,125.86,0.0,42.0,5.3,75.71,0.2,1.66,12.06,0.0,8.62,23.03,16.49,19.55,3.3,2.5,0.8,0.2,19.49,0.0,0.0,0.0,81.36,0.0,79.08,0.0,0.0,0.0,31.79,22.08,21.32,22.67,25.52,13.78,11.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.12,15.54,36.97,25.13,0.0,0.0,0.0,173.62,341.48,361.27,2.51,184.24,212.88,387.96,0.0,0.0,0.0,11.37,0.0,9.87,4.46,0.0,0.0,29.53,53.81,41.91,0.0,0.0,182.91,3147.71,131.48,3033.97,0.0,2833.32,0.0,0.0,0.0,0.0,0.0
2025-07-07 09:00:00,236.23,0.0,26.3,0.0,0.2,0.2,0.0,50.42,0.0,0.0,80.11,80.08,81.71,219.92,0.8,0.8,4042.13,4042.13,1.36,1.23,0.0,81.71,145.32,0.0,7.03,0.0,0.0,122.15,128.51,0.0,0.0,5.3,66.42,0.2,1.65,12.05,0.0,11.82,27.02,0.0,18.48,3.3,2.5,0.8,0.2,0.0,0.0,0.0,25.46,81.54,0.0,23.08,0.0,0.0,0.0,28.14,14.57,7.88,26.15,31.38,15.65,13.66,18.55,16.84,21.13,13.02,21.12,8.13,4.15,0.0,20.94,17.53,44.18,16.88,25.45,20.7,23.18,25.35,10.33,25.39,54.36,61.49,7.92,0.93,34.45,34.67,0.0,0.0,27.96,0.0,342.5,361.21,2.72,194.41,169.28,358.47,0.0,0.0,0.0,0.02,0.0,9.88,4.45,0.0,0.0,29.54,0.0,0.0,0.0,46.92,178.99,3244.8,125.19,3130.91,569.95,2370.67,0.0,0.0,17.07,16.8,17.48
2025-07-07 07:00:00,238.6,0.0,26.41,0.0,0.2,0.2,0.0,49.82,0.0,0.0,87.04,86.77,86.66,215.08,0.8,0.8,3593.25,3593.25,1.35,1.22,0.0,80.66,146.57,0.0,7.02,0.0,0.0,120.71,127.22,0.0,0.0,5.29,68.59,0.2,1.45,12.07,0.0,9.25,25.59,0.0,18.53,3.3,2.5,0.8,0.2,5.74,0.0,0.0,1.62,81.28,0.0,73.37,0.0,0.0,0.0,28.46,8.13,16.77,31.79,33.1,19.74,12.98,1.17,0.65,3.13,1.94,1.38,0.34,0.33,0.0,1.29,0.86,2.64,0.76,1.32,1.91,1.51,1.65,0.04,1.48,2.66,5.77,22.8,13.66,33.06,25.09,0.0,0.0,1.29,106.81,340.91,360.91,2.58,197.92,199.05,487.63,0.0,0.0,0.0,11.31,0.0,9.87,4.45,0.0,0.0,29.54,2.09,41.04,0.0,45.58,188.39,3008.92,135.02,2961.65,41.07,2644.44,0.0,0.0,2.09,2.07,2.09
2025-07-07 04:00:00,248.91,0.0,26.31,0.0,0.2,0.2,0.0,52.09,0.0,0.0,87.51,87.42,87.45,217.63,0.8,0.8,3543.65,3543.65,1.3,1.18,0.0,74.3,145.68,0.0,7.69,0.0,0.0,120.85,125.68,0.0,42.0,5.31,78.2,0.2,0.71,11.84,0.0,9.02,22.48,71.95,19.74,3.3,2.5,0.8,0.2,19.52,0.0,0.0,0.0,81.36,0.0,81.04,0.0,0.0,0.0,33.82,23.95,22.67,22.98,27.79,12.67,8.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39,15.65,30.93,35.37,0.0,0.0,0.0,174.14,341.7,361.32,2.29,186.76999999999998,213.8,335.49,0.0,0.0,0.0,12.27,0.0,9.87,4.46,0.0,0.0,29.54,62.68,42.07,0.0,0.0,186.09,3218.09,131.94,3089.96,0.0,2900.06,0.0,0.0,0.0,0.0,0.0
2025-07-07 02:00:00,251.83,26.33,26.2,0.0,0.2,0.2,0.0,50.61,0.0,0.0,87.59,87.5,87.52,219.22,0.8,0.8,3734.23,3734.23,1.3,1.18,0.0,84.84,145.81,0.0,7.73,0.0,0.0,118.99,116.3,3.01,42.0,5.32,79.72,0.2,0.09,11.07,0.0,7.38,17.93,93.17,20.35,3.3,2.5,0.8,0.2,19.57,2.36,22.08,0.0,83.41,0.0,80.16,0.0,0.0,0.0,22.27,34.8,16.63,18.94,22.84,23.04,16.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57,16.33,38.43,35.21,0.0,0.0,0.0,157.2,340.64,361.53,1.92,218.21999999999997,214.28,330.67,0.0,0.0,0.0,12.37,0.0,9.87,4.46,0.0,0.0,29.52,132.46,42.47,9.06,14.87,182.27,3405.8,208.3,3226.24,0.0,3015.23,0.0,0.0,0.0,0.0,0.0
2025-07-07 08:00:00,242.61,0.0,26.36,0.0,0.2,0.2,0.0,48.82,0.0,0.0,87.15,86.9,86.5,213.77,0.8,0.8,3722.4,3722.4,1.35,1.22,0.0,83.48,146.0,0.0,7.03,0.0,0.0,120.07,128.09,0.0,0.0,5.32,75.76,0.2,1.44,12.07,0.0,11.23,27.63,0.0,19.5,3.3,2.5,0.8,0.2,0.0,0.0,0.0,11.05,81.43,0.0,77.44,0.0,0.0,0.0,26.45,2.95,10.6,29.43,32.08,16.78,10.94,6.35,5.51,10.7,6.29,9.23,3.06,1.88,0.0,8.78,7.02,18.31,6.45,8.89,8.36,9.66,10.62,3.75,6.4,23.2,35.79,24.22,6.89,36.46,35.18,0.0,0.0,19.84,22.57,342.92,361.23,2.48,198.94,195.98,274.07,0.0,0.0,0.0,11.27,0.0,9.88,4.46,0.0,0.0,29.52,0.0,6.32,0.0,46.99,170.57,3090.28,136.39,3057.73,239.34,2543.98,0.0,0.0,9.63,9.41,9.54
2025-07-07 01:00:00,259.89,26.31,26.18,0.0,0.2,0.2,0.0,48.99,0.0,0.0,87.53,87.45,87.47,219.59,0.8,0.8,3710.51,3710.51,1.29,1.18,0.0,84.72,145.47,0.0,7.73,0.0,7.6,118.52,38.48,33.0,42.0,5.3,78.19,0.2,1.73,11.11,0.0,6.04,16.79,101.51,20.33,3.3,2.5,0.8,0.2,19.57,19.45,22.28,0.0,89.08,0.0,75.43,0.32,0.0,28.84,15.28,21.48,20.54,15.08,22.82,24.81,15.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.96,17.21,40.87,35.17,0.0,23.15,34.8,171.01999999999998,338.8,361.3,1.76,217.9,213.7,250.01,0.0,0.0,0.0,12.36,0.0,9.87,4.46,0.0,0.0,29.48,131.7,44.43,33.55,43.84,160.55,3502.16,364.52,3309.66,0.0,2977.09,1.89,0.0,0.0,0.0,0.0
2025-07-07 10:00:00,215.71,0.0,26.23,0.0,0.2,0.2,0.0,50.54,0.0,0.0,79.11,77.11,78.69,242.11,0.8,0.8,4306.39,4306.39,1.36,1.23,0.0,60.81,144.48,0.0,7.02,0.0,0.0,117.71,128.22,0.0,0.0,5.27,20.71,0.2,1.57,12.03,0.0,12.26,27.48,0.0,17.93,3.2,2.4,0.8,0.2,0.0,0.0,0.0,33.32,33.59,0.0,0.0,0.0,0.0,0.0,22.8,28.56,12.49,30.25,31.99,16.21,15.77,28.42,26.0,44.55,27.01,31.65,12.24,5.55,0.0,30.19,16.72,61.12,26.32,39.59,31.31,32.6,35.65,16.82,36.48,67.32,72.48,0.0,0.0,32.58,33.86,0.0,0.0,0.0,0.0,342.19,360.98,3.02,184.91,144.01,433.47,0.0,0.0,0.0,0.0,0.0,9.88,4.45,0.0,0.0,29.53,0.0,0.0,0.0,46.8,200.83,3291.14,124.64,3138.44,813.0,2152.67,0.0,0.0,23.78,23.61,24.38
2025-07-07 03:00:00,250.99,7.54,26.38,0.0,0.2,0.2,0.0,51.05,0.0,0.0,87.53,87.45,87.46,217.83,0.8,0.8,3521.97,3521.97,1.3,1.18,0.0,83.5,145.6,0.0,7.73,0.0,0.0,120.4,124.59,0.0,42.0,5.3,79.79,0.2,0.0,11.42,0.0,6.45,14.36,93.03,19.96,3.3,2.5,0.8,0.2,19.51,0.0,0.12,0.0,81.75,0.0,77.5,0.0,0.0,0.0,23.1,30.55,22.45,15.03,17.06,16.02,11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.21,15.74,37.46,35.17,0.0,0.0,0.0,167.92000000000002,341.55,361.3,2.11,203.49,200.44,238.0,0.0,0.0,0.0,12.33,0.0,9.87,4.46,0.0,0.0,29.48,130.92,42.19,0.0,0.0,158.61,3298.22,138.63,3171.7,0.0,3000.98,0.0,0.0,0.0,0.0,0.0
2025-07-07 06:00:00,257.18,0.0,26.46,0.0,0.2,0.2,0.0,49.57,0.0,0.0,87.23,86.92,86.78,216.09,0.8,0.8,3521.31,3521.31,1.31,1.17,0.0,83.08,146.36,0.0,7.03,0.0,0.0,121.13,126.08,0.0,0.33,5.3,76.02,0.2,1.48,12.12,0.0,9.79,23.88,0.0,19.69,3.3,2.5,0.8,0.2,16.06,0.0,0.0,0.0,80.41,0.0,79.2,0.0,0.0,0.0,35.36,17.52,19.91,27.1,29.29,24.23,16.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.01,0.0,0.0,24.31,15.67,36.68,35.25,0.0,0.0,0.0,172.7,340.91,361.35,2.63,198.51,209.88,324.9,0.0,0.0,0.0,11.37,0.0,9.87,4.46,0.0,0.0,29.53,21.97,41.92,0.0,0.0,206.68,3101.04,89.9,3006.97,0.07,2804.39,0.0,0.0,0.0,0.0,0.0
