,GRUPOS,INDICE,GRUPO,EMPRESA,CENTRAL,FECHA,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
0,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1,2020-03-07,144.07,145.09,145.4,134.67,141.69,142.33,143.27,143.43,140.95,141.29,142.32,133.87,127.1,146.15,143.63,143.87,145.9,147.91,149.47,150.06,146.22,145.16,0.0,0.0
1,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1 GN,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8
2,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1 SAN PEDRO,2020-03-07,18.06,18.44,27.1,27.14,25.66,26.01,26.28,26.31,22.81,23.57,25.35,23.14,24.35,27.7,28.35,26.12,28.24,31.22,37.93,36.56,39.86,33.56,0.0,0.0
3,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1 SAN PEDRO GN,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,26.6,26.6,26.6,26.6,26.6,32.6,32.6,32.6,36.6,36.6,36.6,39.6
4,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1B SAN PEDRO,2020-03-07,13.58,14.07,9.29,11.6,13.45,13.62,11.46,0.0,0.0,0.0,0.0,7.64,12.79,14.47,14.8,13.68,14.14,14.76,16.39,16.6,16.15,14.14,0.0,0.0
5,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1B SAN PEDRO GN,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65
6,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1,2020-03-08,142.91,142.24,141.78,143.01,144.36,144.19,144.55,145.97,144.52,145.77,146.83,145.97,141.58,139.77,141.34,144.63,143.47,146.2,146.42,142.02,142.69,144.29,0.0,0.0
7,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1 GN,2020-03-08,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8,143.8
8,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1 SAN PEDRO,2020-03-08,37.29,25.99,32.12,40.56,41.21,40.09,39.73,40.68,39.8,36.33,27.73,27.11,23.12,20.56,21.76,26.24,27.61,33.71,45.26,40.5,40.52,42.95,0.0,0.0
9,1 - Térmica,1,Térmica,PVDC,QUISQUEYA 1 SAN PEDRO GN,2020-03-08,39.6,39.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,51.0,51.0,51.0,51.0,51.0,51.0
